timestamp,arbitration_id,data_field,attack
0.000385,1B5,007F1FB6,0
0.000858,1A7,007F1F472590,0
0.00141,1BB,007F1FC00E06B85F,0
0.001836,2EA,007F1F2D65584FF2,0
0.003412,38B,007F1F74,0
0.003858,1A9,007F1FE2,0
0.00396,295,007F1F23D86BD8D0,0
0.005137,316,007F1F16,0
0.005433,242,007F1F9747AFDD5A,0
0.007797,25A,008020FF2669EE4E,0
0.008237,12C,007F1F67F7F33701,0
0.008791,177,008020A98821,0
0.010494,1B5,018020B6,0
0.011046,1BB,017F1FC00E06B85F,0
0.012083,2EA,0180202D65584FF2,0
0.012388,0C4,007F1F991B0FA963,0
0.012939,351,008020B6,0
0.013623,38B,01802074,0
0.014115,295,017F1F23D86BD8D0,0
0.015009,3AC,008120E5BAD71CEB,0
0.020499,1B5,028120B6,0
0.02163,1BB,027F1FC00E06B85F,0
0.021861,2EA,0281202D65584FF2,0
0.02265,366,008120EAD0D7971C,0
0.023607,38B,02812074,0
0.02401,1A9,018020E2,0
0.024059,295,027F1F23D86BD8D0,0
0.025739,316,01812016,0
0.025773,242,0181209747AFDD5A,0
0.027415,25A,018220FF2669EE4E,0
0.030544,1B5,038220B6,0
0.031288,1BB,037F1FC00E06B85F,0
0.031811,2EA,0382202D65584FF2,0
0.033645,38B,03822074,0
0.033987,295,037F1F23D86BD8D0,0
0.039874,364,007F1F4C559E65BB,0
0.040134,1B5,048320B6,0
0.040821,1DB,0085211B,0
0.041347,1BB,047F1FC00E06B85F,0
0.041748,2EA,0483202D65584FF2,0
0.043499,38B,04832074,0
0.04357,1A9,028220E2,0
0.044432,295,047F1F23D86BD8D0,0
0.044963,316,02832016,0
0.045345,0ED,008421666193FA64,0
0.046365,242,0283209747AFDD5A,0
0.047674,25A,028521FF2669EE4E,0
0.049381,397,008320A2,0
0.050502,1B5,058421B6,0
0.051455,2EA,0584212D65584FF2,0
0.051487,1BB,057F1FC00E06B85F,0
0.052655,1A7,018421472590,0
0.053636,38B,05842174,0
0.054347,295,057F1F23D86BD8D0,0
0.05708,177,018922A98821,0
0.057775,12C,01822067F7F33701,0
0.060283,1B5,068521B6,0
0.061461,1BB,068020C00E06B85F,0
0.061736,2EA,0685212D65584FF2,0
0.06224,0C4,018320991B0FA963,0
0.063756,2B9,008220F3,0
0.063893,351,018521B6,0
0.063936,295,067F1F23D86BD8D0,0
0.063991,38B,06852174,0
0.064563,1A9,038421E2,0
0.06468,316,03852116,0
0.064785,3AC,018822E5BAD71CEB,0
0.065241,242,0385219747AFDD5A,0
0.067318,25A,038822FF2669EE4E,0
0.070823,1B5,078621B6,0
0.070898,363,00882240C9CEAEAD,0
0.071672,1BB,078020C00E06B85F,0
0.07173,2EA,0787212D65584FF2,0
0.073647,38B,07852174,0
0.074265,295,07802023D86BD8D0,0
0.080856,1B5,088721B6,0
0.081303,1BB,088020C00E06B85F,0
0.082076,2EA,0888222D65584FF2,0
0.083444,1A9,048521E2,0
0.083464,38B,08862174,0
0.084156,295,08802023D86BD8D0,0
0.084513,316,04872116,0
0.086196,242,0487219747AFDD5A,0
0.087062,25A,048B22FF2669EE4E,0
0.08932,364,0180204C559E65BB,0
0.090881,1B5,098822B6,0
0.091475,1BB,098020C00E06B85F,0
0.091567,2EA,0989222D65584FF2,0
0.093118,1DB,018E231B,0
0.093485,38B,09872174,0
0.094307,295,09802023D86BD8D0,0
0.09575,0ED,018A22666193FA64,0
0.100442,397,018721A2,0
0.100709,1B5,0A8922B6,0
0.101498,1BB,0A8020C00E06B85F,0
0.101552,1A7,028A22472590,0
0.1017,2EA,0A8A222D65584FF2,0
0.103523,38B,0A882274,0
0.10369,1A9,058721E2,0
0.104021,295,0A802023D86BD8D0,0
0.104797,316,05892216,0
0.105361,242,0589229747AFDD5A,0
0.106722,25A,058E23FF2669EE4E,0
0.107152,177,029224A98821,0
0.107698,12C,02862167F7F33701,0
0.110453,1B5,0B8B22B6,0
0.111383,0C4,028621991B0FA963,0
0.111447,1BB,0B8020C00E06B85F,0
0.11158,2EA,0B8B222D65584FF2,0
0.112553,3BB,00812085,0
0.112888,3AC,029024E5BAD71CEB,0
0.113943,38B,0B892274,0
0.114202,351,028A22B6,0
0.114579,295,0B802023D86BD8D0,0
0.120173,122,008521ADF4268F70,0
0.120738,1B5,0C8C23B6,0
0.121581,1BB,0C8120C00E06B85F,0
